type,year,country,series,value,id,image,feature,volume
RE,1999,Netherlands,NLD-01,1.0,RE1999NLD-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_1euro_2000.jpg,,
RE,2014,Netherlands,NLD-02,1.0,RE2014NLD-A-RE2-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_1euro_2014.jpg,,
RE,1999,Netherlands,NLD-01,0.5,RE1999NLD-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_50cents_2000.jpg,,
RE,2014,Netherlands,NLD-02,0.5,RE2014NLD-A-RE2-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_50cent.jpg,,
RE,1999,Netherlands,NLD-01,0.2,RE1999NLD-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_20cent_2000.jpg,,
RE,2014,Netherlands,NLD-02,0.2,RE2014NLD-A-RE2-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_20cent.jpg,,
RE,1999,Netherlands,NLD-01,0.1,RE1999NLD-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_10cent_2000.jpg,,
RE,2014,Netherlands,NLD-02,0.1,RE2014NLD-A-RE2-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_10cent.jpg,,
RE,1999,Netherlands,NLD-01,0.05,RE1999NLD-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_5cent_2000.jpg,,
RE,2014,Netherlands,NLD-02,0.05,RE2014NLD-A-RE2-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_5cent_2014.jpg,,
RE,1999,Netherlands,NLD-01,0.02,RE1999NLD-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_2cent_2000.jpg,,
RE,2014,Netherlands,NLD-02,0.02,RE2014NLD-A-RE2-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_2cent_2014.jpg,,
RE,1999,Netherlands,NLD-01,0.01,RE1999NLD-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_1cent_2000.jpg,,
RE,2014,Netherlands,NLD-02,0.01,RE2014NLD-A-RE2-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/nl/Netherlands_1cent_2014.jpg,,
RE,2002,Portugal,PRT-01,2.0,RE2002PRT-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_2euro.jpg,,
RE,2002,Portugal,PRT-01,1.0,RE2002PRT-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_1Euro.jpg,,
RE,2002,Portugal,PRT-01,0.5,RE2002PRT-A-RE1-050,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_50cent.jpg,,
RE,2002,Portugal,PRT-01,0.2,RE2002PRT-A-RE1-020,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_20cent.jpg,,
RE,2002,Portugal,PRT-01,0.1,RE2002PRT-A-RE1-010,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_10cent.jpg,,
RE,2002,Portugal,PRT-01,0.05,RE2002PRT-A-RE1-005,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_5cent.jpg,,
RE,2002,Portugal,PRT-01,0.02,RE2002PRT-A-RE1-002,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_2cent.jpg,,
RE,2002,Portugal,PRT-01,0.01,RE2002PRT-A-RE1-001,https://www.ecb.europa.eu/euro/coins/common/shared/img/pt/Portugal_1cent.jpg,,
RE,2006,San Marino,SMR-01,2.0,RE2006SMR-A-RE1-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_2euro_2010.jpg,,
RE,2017,San Marino,SMR-02,2.0,RE2017SMR-A-RE2-200,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_2euro_2017.jpg,,
RE,2006,San Marino,SMR-01,1.0,RE2006SMR-A-RE1-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_1euro_2010.jpg,,
RE,2017,San Marino,SMR-02,1.0,RE2017SMR-A-RE2-100,https://www.ecb.europa.eu/euro/coins/common/shared/img/sm/SanMarino_1euro_2017.jpg,,
